nameTeam,avgAge,valueTeam,year,numberPlayers,nameLeague
Watford FC,27.8,142800000,2021,30,premier-league
Liverpool FC,27.2,900500000,2021,27,premier-league
Manchester United,27.8,721250000,2021,28,premier-league
Arsenal FC,24.6,521000000,2021,21,premier-league
Everton FC,27.3,447750000,2021,29,premier-league
Wolverhampton Wanderers,26,352500000,2021,26,premier-league
Newcastle United,28.5,290900000,2021,28,premier-league
Southampton FC,26.7,265750000,2021,26,premier-league
Brighton & Hove Albion,25.3,255000000,2021,24,premier-league
Norwich City,25.7,146550000,2021,26,premier-league
Burnley FC,30,142000000,2021,24,premier-league
FC Barcelona,24.6,604700000,2010,35,primera-division
Atletico de Madrid,24.9,187000000,2010,31,primera-division
Sevilla FC,25.6,175600000,2010,36,primera-division
Athletic Bilbao,25.2,112000000,2010,30,primera-division
UD Almeria,25.8,73600000,2010,30,primera-division
Real Sociedad,25.8,66700000,2010,26,primera-division
Deportivo de La Coruna,26.5,63700000,2010,33,primera-division
CA Osasuna,28.1,57900000,2010,29,primera-division
RCD Mallorca,25.6,55200000,2010,29,primera-division
Hercules CF,26.8,51700000,2010,32,primera-division
Real Madrid,24.3,519000000,2010,38,primera-division
Valencia CF,26.4,176600000,2010,32,primera-division
Villarreal CF,25.2,170600000,2010,34,primera-division
RCD Espanyol Barcelona,24.3,78400000,2010,35,primera-division
Malaga CF,26.4,71050000,2010,37,primera-division
Getafe CF,25.3,66400000,2010,29,primera-division
Racing Santander,25.9,59300000,2010,30,primera-division
Real Zaragoza,26,57000000,2010,30,primera-division
Sporting Gijon,25.8,53400000,2010,33,primera-division
Levante UD,26.7,37600000,2010,33,primera-division
Manchester City,25.1,1010000000,2017,32,premier-league
Liverpool FC,24.9,857500000,2017,35,premier-league
Tottenham Hotspur,24.7,829600000,2017,34,premier-league
Everton FC,24.9,381250000,2017,48,premier-league
Southampton FC,25.8,297000000,2017,29,premier-league
Crystal Palace,25.8,220730000,2017,41,premier-league
Watford FC,26.8,196000000,2017,37,premier-league
Burnley FC,27.8,169300000,2017,30,premier-league
Swansea City,26.3,165490000,2017,36,premier-league
AFC Bournemouth,26,144500000,2017,35,premier-league
Chelsea FC,24.7,884250000,2017,46,premier-league
Manchester United,26.1,849500000,2017,35,premier-league
Arsenal FC,24.8,694000000,2017,45,premier-league
Leicester City,26.5,304250000,2017,34,premier-league
West Ham United,25.3,260600000,2017,41,premier-league
Newcastle United,25.4,208280000,2017,37,premier-league
Stoke City,26.2,192450000,2017,35,premier-league
West Bromwich Albion,26.5,165950000,2017,33,premier-league
Brighton & Hove Albion,26.7,148200000,2017,39,premier-league
Huddersfield Town,25.6,106050000,2017,35,premier-league
Manchester City,24.3,1200000000,2018,46,premier-league
Chelsea FC,25.6,1170000000,2018,54,premier-league
Manchester United,25.3,797600000,2018,36,premier-league
Everton FC,26,529100000,2018,40,premier-league
West Ham United,26.6,359000000,2018,37,premier-league
Southampton FC,24.9,305400000,2018,40,premier-league
Crystal Palace,26.4,289000000,2018,36,premier-league
Newcastle United,26,244650000,2018,37,premier-league
Burnley FC,28.1,197250000,2018,33,premier-league
Huddersfield Town,25.3,137450000,2018,33,premier-league
Liverpool FC,24.7,1170000000,2018,39,premier-league
Tottenham Hotspur,25.4,898600000,2018,34,premier-league
Arsenal FC,24.9,659050000,2018,42,premier-league
Leicester City,26.4,434100000,2018,37,premier-league
AFC Bournemouth,25.7,310000000,2018,37,premier-league
Wolverhampton Wanderers,24.1,302900000,2018,40,premier-league
Fulham FC,25.7,254250000,2018,33,premier-league
Watford FC,26.2,239100000,2018,39,premier-league
Brighton & Hove Albion,25.8,194350000,2018,41,premier-league
Cardiff City,27.3,113000000,2018,35,premier-league
Chelsea FC,24.8,686700000,2016,49,premier-league
Tottenham Hotspur,23.7,543650000,2016,38,premier-league
Manchester United,24.4,531450000,2016,42,premier-league
Everton FC,25.9,311250000,2016,39,premier-league
Southampton FC,25.3,263750000,2016,36,premier-league
Leicester City,26.6,218650000,2016,31,premier-league
Watford FC,26.8,175650000,2016,46,premier-league
Hull City,26,135850000,2016,42,premier-league
AFC Bournemouth,24.4,131600000,2016,41,premier-league
West Bromwich Albion,27.3,123200000,2016,30,premier-league
Manchester City,25.7,606700000,2016,44,premier-league
Arsenal FC,24.7,542000000,2016,42,premier-league
Liverpool FC,24.4,425650000,2016,38,premier-league
West Ham United,24.7,273050000,2016,44,premier-league
Crystal Palace,26.1,228430000,2016,45,premier-league
Stoke City,27.1,186000000,2016,34,premier-league
Swansea City,26.9,157100000,2016,37,premier-league
Sunderland AFC,25.3,132000000,2016,42,premier-league
Middlesbrough FC,27.3,128800000,2016,35,premier-league
Burnley FC,26.6,107180000,2016,36,premier-league
Chelsea FC,24.9,557250000,2014,38,premier-league
Manchester City,26.4,452250000,2014,36,premier-league
Liverpool FC,24.3,324850000,2014,35,premier-league
Southampton FC,24.5,210250000,2014,37,premier-league
Newcastle United,23.9,140000000,2014,42,premier-league
Swansea City,25.3,130750000,2014,36,premier-league
Aston Villa,25.3,114250000,2014,38,premier-league
Stoke City,27.4,110500000,2014,30,premier-league
West Bromwich Albion,26.5,95950000,2014,34,premier-league
Leicester City,26.9,66700000,2014,37,premier-league
Manchester United,24.9,505400000,2014,43,premier-league
Arsenal FC,24,414750000,2014,42,premier-league
